date,bike_rides_daily,avgTemp
2022-01-01,102,11.6
2022-01-02,233,11.4
2022-01-03,182,1.4
2022-01-04,181,-2.7
2022-01-05,167,3.2
2022-01-06,221,4.9
2022-01-07,80,0.7
2022-01-08,127,-2.5
2022-01-09,104,1.4
2022-01-10,179,1.6
2022-01-11,133,-5.4
2022-01-12,205,-1.9
2022-01-13,230,4.0
2022-01-14,198,4.8
2022-01-15,114,-6.7
2022-01-16,87,-8.0
2022-01-17,132,3.9
2022-01-18,213,1.8
2022-01-19,285,3.2
2022-01-20,181,5.1
2022-01-21,163,-6.0
2022-01-22,143,-5.9
2022-01-23,168,-0.7
2022-01-24,200,-0.2
2022-01-25,273,3.6
2022-01-26,219,-2.3
2022-01-27,227,-4.2
2022-01-28,193,0.1
2022-01-29,15,-4.8
2022-01-30,45,-7.1
2022-01-31,116,-3.4
2022-02-01,136,-1.7
2022-02-02,197,2.3
2022-02-03,129,6.4
2022-02-04,114,5.8
2022-02-05,156,-2.8
2022-02-06,134,-4.8
2022-02-07,154,0.5
2022-02-08,263,4.1
2022-02-09,288,2.8
2022-02-10,284,6.3
2022-02-11,338,8.6
2022-02-12,326,11.8
2022-02-13,93,2.8
2022-02-14,158,-4.3
2022-02-15,201,-4.7
2022-02-16,282,1.6
2022-02-17,352,11.6
2022-02-18,250,9.9
2022-02-19,152,0.1
2022-02-20,169,-2.6
2022-02-21,283,4.1
2022-02-22,176,5.6
2022-02-23,327,14.4
2022-02-24,238,1.1
2022-02-25,165,0.8
2022-02-26,204,-1.1
2022-02-27,214,2.4
2022-02-28,205,0.8
2022-03-01,293,2.6
2022-03-02,317,7.7
2022-03-03,269,5.6
2022-03-04,253,-1.9
2022-03-05,231,3.1
2022-03-06,259,9.6
2022-03-07,342,18.2
2022-03-08,294,8.7
2022-03-09,124,3.2
2022-03-10,327,4.0
2022-03-11,381,7.2
2022-03-12,96,5.1
2022-03-13,189,-2.3
2022-03-14,297,5.3
2022-03-15,365,11.6
2022-03-16,368,13.6
2022-03-17,258,8.2
2022-03-18,506,13.9
2022-03-19,406,13.1
2022-03-20,310,14.3
2022-03-21,387,10.4
2022-03-22,407,10.7
2022-03-23,290,7.2
2022-03-24,219,5.7
2022-03-25,395,9.6
2022-03-26,308,10.4
2022-03-27,203,5.9
2022-03-28,178,-1.5
2022-03-29,241,-1.2
2022-03-30,308,2.6
2022-03-31,383,9.9
2022-04-01,317,13.1
2022-04-02,357,7.2
2022-04-03,171,7.0
2022-04-04,336,7.6
2022-04-05,350,9.7
2022-04-06,243,8.6
2022-04-07,187,9.1
2022-04-08,472,12.8
2022-04-09,332,11.4
2022-04-10,290,8.6
2022-04-11,397,8.8
2022-04-12,506,13.4
2022-04-13,488,15.4
